timestamp,portfolio_value,cash_balance,open_positions,note
2026-04-18T12:14:05.082315+00:00,99999.8900,99999.8900,0,hourly_cycle
2026-04-18T22:30:28.600214+00:00,99598.1100,32614.7200,5,startup
2026-04-18T22:33:52.900544+00:00,99627.9600,32614.7200,5,hourly_cycle
2026-04-18T23:24:19.576888+00:00,99523.1500,10672.7700,6,startup
2026-04-18T23:27:20.994675+00:00,99545.5300,3492.5600,6,hourly_cycle
2026-04-19T00:25:21.146643+00:00,99308.1800,9738.9000,7,startup
2026-04-19T00:28:10.423165+00:00,99181.7600,9738.9000,7,hourly_cycle
2026-04-19T01:28:37.781801+00:00,99019.9400,9718.7200,7,hourly_cycle
2026-04-19T02:29:05.073393+00:00,98745.9800,9681.0400,7,hourly_cycle
2026-04-19T03:29:33.198044+00:00,98912.5400,7700.6100,8,hourly_cycle
2026-04-19T04:29:59.500697+00:00,98870.3300,3922.9700,8,hourly_cycle
2026-04-19T05:30:27.193867+00:00,98650.3300,3113.6600,8,hourly_cycle
2026-04-19T06:07:22.357227+00:00,98562.3000,4854.2200,8,startup
2026-04-19T06:10:10.264813+00:00,98559.0000,4854.2200,8,hourly_cycle
2026-04-19T07:02:03.080562+00:00,98521.0400,4832.2800,8,startup
2026-04-19T07:06:50.591230+00:00,98296.1500,4826.0300,8,hourly_cycle
2026-04-19T08:32:03.054692+00:00,97816.5700,6021.3100,8,startup
2026-04-19T08:36:52.040114+00:00,97864.6200,6021.3100,8,hourly_cycle
2026-04-19T08:40:01.086202+00:00,97871.4500,6021.3100,8,startup
2026-04-19T08:44:32.209214+00:00,97898.0300,6021.3100,8,hourly_cycle
2026-04-19T09:45:04.858520+00:00,97625.6400,6021.3100,8,hourly_cycle
2026-04-19T10:34:02.328644+00:00,97694.8400,6005.7000,8,startup
2026-04-19T10:38:36.348381+00:00,97702.8600,6005.7000,8,hourly_cycle
2026-04-19T11:39:10.558860+00:00,98258.3400,2179.7000,8,hourly_cycle
2026-04-19T12:39:43.774473+00:00,98422.5600,2179.7000,8,hourly_cycle
2026-04-19T13:40:16.891481+00:00,99259.5400,2179.7000,8,hourly_cycle
2026-04-19T14:40:48.741136+00:00,99156.3600,2558.1000,8,hourly_cycle
2026-04-19T15:41:20.520351+00:00,98350.6900,4799.0900,8,hourly_cycle
2026-04-19T16:41:52.531910+00:00,98605.4000,5995.0200,8,hourly_cycle
2026-04-19T17:42:25.288407+00:00,97908.6500,5995.0200,8,hourly_cycle
2026-04-19T18:42:56.945108+00:00,97573.2800,5995.0200,8,hourly_cycle
2026-04-19T19:43:28.506594+00:00,97683.5700,5987.4500,8,hourly_cycle
2026-04-19T20:44:00.577340+00:00,97434.7600,5979.0900,8,hourly_cycle
2026-04-20T02:05:08.502511+00:00,97000.0200,1957.5600,8,startup
2026-04-20T02:09:28.912908+00:00,96944.3800,1957.5600,8,hourly_cycle
2026-04-20T03:10:01.812049+00:00,96851.4200,2324.4700,8,hourly_cycle
2026-04-20T04:03:41.668444+00:00,97147.2800,1876.4000,8,startup
2026-04-20T04:07:52.850418+00:00,97120.6800,1875.0300,8,hourly_cycle
2026-04-20T04:41:19.563754+00:00,96962.2300,1870.7800,8,startup
2026-04-20T04:46:01.818635+00:00,97023.3100,1870.7800,8,hourly_cycle
2026-04-20T05:46:35.501828+00:00,96560.5300,1870.7800,8,hourly_cycle
2026-04-20T06:47:22.564728+00:00,97063.5900,1870.7800,8,hourly_cycle
2026-04-20T07:47:54.687743+00:00,97780.8400,1870.7800,8,hourly_cycle
2026-04-20T08:15:18.103475+00:00,97659.0700,1870.7800,8,startup
2026-04-20T08:19:23.751474+00:00,97659.0700,1870.7800,8,hourly_cycle
2026-04-20T09:01:57.748030+00:00,97470.5800,1870.7800,8,startup
2026-04-20T09:06:20.904307+00:00,97504.9800,1870.7800,8,hourly_cycle
2026-04-20T09:47:53.996427+00:00,97752.1800,1870.7800,8,startup
2026-04-20T09:52:27.406803+00:00,97795.8500,1870.7800,8,hourly_cycle
2026-04-20T10:53:04.067116+00:00,97975.8900,1870.7800,8,hourly_cycle
2026-04-22T10:25:47.158944+00:00,101119.4200,-1723.6000,9,startup
2026-04-22T10:31:05.798049+00:00,101148.1300,-1723.6000,9,hourly_cycle
2026-04-22T11:46:32.324924+00:00,101272.8100,-1723.6000,9,startup
2026-04-22T11:47:12.600901+00:00,101284.7400,-1723.6000,9,startup
2026-04-22T11:49:14.708011+00:00,101197.7600,-1723.6000,9,startup
2026-04-22T11:53:56.776913+00:00,101332.2300,-1723.6000,9,hourly_cycle
2026-04-22T12:54:29.751344+00:00,101513.7800,-1723.6000,9,hourly_cycle
2026-04-22T23:50:47.272204+00:00,100079.6500,2098.1000,8,startup
2026-04-22T23:55:09.160979+00:00,100081.2000,2098.1000,8,hourly_cycle
2026-04-23T00:55:48.320300+00:00,100053.2700,2098.1000,8,hourly_cycle
2026-04-23T01:56:28.595560+00:00,99815.0500,2098.1000,8,hourly_cycle
2026-04-23T02:30:17.550991+00:00,99504.6800,2098.1000,8,startup
2026-04-23T02:33:53.674678+00:00,99504.6800,2098.1000,8,startup
2026-04-23T02:39:01.053201+00:00,99424.5600,2098.1000,8,hourly_cycle
2026-04-23T02:44:00.369115+00:00,99250.5400,2098.1000,8,startup
2026-04-23T02:48:44.112726+00:00,99275.7100,2098.1000,8,hourly_cycle
2026-04-23T03:03:54.177294+00:00,99291.0800,2098.1000,8,startup
2026-04-23T03:05:06.308311+00:00,99248.7900,2098.1000,8,startup
2026-04-23T03:05:38.585884+00:00,99248.7900,2098.1000,8,startup
2026-04-23T03:10:31.769604+00:00,99367.3700,2098.1000,8,hourly_cycle
2026-04-23T03:11:56.128760+00:00,99367.3700,2098.1000,8,startup
2026-04-23T03:12:39.201192+00:00,99371.3900,2098.1000,8,startup
2026-04-23T03:17:26.454719+00:00,99216.8700,2098.1000,8,hourly_cycle
2026-04-23T03:24:24.914516+00:00,99155.9100,2098.1000,8,startup
2026-04-23T03:29:53.762237+00:00,99156.2400,2098.1000,8,hourly_cycle
2026-04-23T04:30:39.573519+00:00,99042.5200,2098.1000,8,hourly_cycle
2026-04-23T04:44:49.196105+00:00,99144.7100,2098.1000,8,startup
2026-04-23T04:49:48.350459+00:00,99127.6000,2098.1000,8,hourly_cycle
2026-04-23T06:52:25.837610+00:00,99344.1300,2098.1000,8,startup
2026-04-23T06:57:50.129174+00:00,99496.3300,2098.1000,8,hourly_cycle
2026-04-23T07:58:36.805870+00:00,99242.7400,2098.1000,8,hourly_cycle
2026-04-23T08:59:36.582380+00:00,99102.9300,1926.8400,8,hourly_cycle
2026-04-23T09:39:58.847169+00:00,98710.9800,2094.0800,8,startup
2026-04-23T09:45:16.919434+00:00,98696.1100,2094.0800,8,hourly_cycle
2026-04-23T11:00:39.321029+00:00,98437.4000,2094.0800,8,startup
2026-04-23T11:05:17.100010+00:00,98447.8900,2094.0800,8,hourly_cycle
