[ASX Dashboard] Serving on http://0.0.0.0:5052
 * Serving Flask app 'dashboard_app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5052
 * Running on http://10.0.2.108:5052
Press CTRL+C to quit
127.0.0.1 - - [23/Apr/2026 02:51:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:51:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:51:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:52:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:52:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:52:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:52:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:52:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:52:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:52:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:52:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:52:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:52:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:52:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:52:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:53:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:53:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:53:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:53:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:53:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:53:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:53:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:53:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:53:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:53:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:53:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:53:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:54:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:54:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:54:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:54:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:54:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:54:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:54:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:54:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:54:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:54:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:54:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:54:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:55:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:55:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:55:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:55:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:55:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:55:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:55:44] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:55:44] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:55:44] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:55:59] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:55:59] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:55:59] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:56:14] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:56:14] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:56:14] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:56:29] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:56:29] "GET /api/broker-status HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:56:29] "GET /api/trades HTTP/1.1" 200 -
127.0.0.1 - - [23/Apr/2026 02:56:44] "GET /api/overview HTTP/1.1" 200 -
